

Windows-1252;;kunta_1_20200101#maakunta_1_20200101;;
sourcecode;sourcename;targetcode;targetname

"'020'";"Akaa";"'06'";"Pirkanmaa"
"'005'";"Alajärvi";"'14'";"South Ostrobothnia"
"'009'";"Alavieska";"'17'";"North Ostrobothnia"
"'010'";"Alavus";"'14'";"South Ostrobothnia"
"'016'";"Asikkala";"'07'";"Päijät-Häme"
"'018'";"Askola";"'01'";"Uusimaa"
"'019'";"Aura";"'02'";"Southwest Finland"
"'035'";"Brändö";"'21'";"Åland"
"'043'";"Eckerö";"'21'";"Åland"
"'046'";"Enonkoski";"'10'";"South Savo"
"'047'";"Enontekiö";"'19'";"Lapland"
"'049'";"Espoo";"'01'";"Uusimaa"
"'050'";"Eura";"'04'";"Satakunta"
"'051'";"Eurajoki";"'04'";"Satakunta"
"'052'";"Evijärvi";"'14'";"South Ostrobothnia"
"'060'";"Finström";"'21'";"Åland"
"'061'";"Forssa";"'05'";"Kanta-Häme"
"'062'";"Föglö";"'21'";"Åland"
"'065'";"Geta";"'21'";"Åland"
"'069'";"Haapajärvi";"'17'";"North Ostrobothnia"
"'071'";"Haapavesi";"'17'";"North Ostrobothnia"
"'072'";"Hailuoto";"'17'";"North Ostrobothnia"
"'074'";"Halsua";"'16'";"Central Ostrobothnia"
"'075'";"Hamina";"'08'";"Kymenlaakso"
"'076'";"Hammarland";"'21'";"Åland"
"'077'";"Hankasalmi";"'13'";"Central Finland"
"'078'";"Hanko";"'01'";"Uusimaa"
"'079'";"Harjavalta";"'04'";"Satakunta"
"'081'";"Hartola";"'07'";"Päijät-Häme"
"'082'";"Hattula";"'05'";"Kanta-Häme"
"'086'";"Hausjärvi";"'05'";"Kanta-Häme"
"'111'";"Heinola";"'07'";"Päijät-Häme"
"'090'";"Heinävesi";"'10'";"South Savo"
"'091'";"Helsinki";"'01'";"Uusimaa"
"'097'";"Hirvensalmi";"'10'";"South Savo"
"'098'";"Hollola";"'07'";"Päijät-Häme"
"'099'";"Honkajoki";"'04'";"Satakunta"
"'102'";"Huittinen";"'04'";"Satakunta"
"'103'";"Humppila";"'05'";"Kanta-Häme"
"'105'";"Hyrynsalmi";"'18'";"Kainuu"
"'106'";"Hyvinkää";"'01'";"Uusimaa"
"'108'";"Hämeenkyrö";"'06'";"Pirkanmaa"
"'109'";"Hämeenlinna";"'05'";"Kanta-Häme"
"'139'";"Ii";"'17'";"North Ostrobothnia"
"'140'";"Iisalmi";"'11'";"North Savo"
"'142'";"Iitti";"'08'";"Kymenlaakso"
"'143'";"Ikaalinen";"'06'";"Pirkanmaa"
"'145'";"Ilmajoki";"'14'";"South Ostrobothnia"
"'146'";"Ilomantsi";"'12'";"North Karelia"
"'153'";"Imatra";"'09'";"South Karelia"
"'148'";"Inari";"'19'";"Lapland"
"'149'";"Ingå";"'01'";"Uusimaa"
"'151'";"Isojoki";"'14'";"South Ostrobothnia"
"'152'";"Isokyrö";"'15'";"Ostrobothnia"
"'165'";"Janakkala";"'05'";"Kanta-Häme"
"'167'";"Joensuu";"'12'";"North Karelia"
"'169'";"Jokioinen";"'05'";"Kanta-Häme"
"'170'";"Jomala";"'21'";"Åland"
"'171'";"Joroinen";"'10'";"South Savo"
"'172'";"Joutsa";"'13'";"Central Finland"
"'176'";"Juuka";"'12'";"North Karelia"
"'177'";"Juupajoki";"'06'";"Pirkanmaa"
"'178'";"Juva";"'10'";"South Savo"
"'179'";"Jyväskylä";"'13'";"Central Finland"
"'181'";"Jämijärvi";"'04'";"Satakunta"
"'182'";"Jämsä";"'13'";"Central Finland"
"'186'";"Järvenpää";"'01'";"Uusimaa"
"'202'";"Kaarina";"'02'";"Southwest Finland"
"'204'";"Kaavi";"'11'";"North Savo"
"'205'";"Kajaani";"'18'";"Kainuu"
"'208'";"Kalajoki";"'17'";"North Ostrobothnia"
"'211'";"Kangasala";"'06'";"Pirkanmaa"
"'213'";"Kangasniemi";"'10'";"South Savo"
"'214'";"Kankaanpää";"'04'";"Satakunta"
"'216'";"Kannonkoski";"'13'";"Central Finland"
"'217'";"Kannus";"'16'";"Central Ostrobothnia"
"'218'";"Karijoki";"'14'";"South Ostrobothnia"
"'224'";"Karkkila";"'01'";"Uusimaa"
"'226'";"Karstula";"'13'";"Central Finland"
"'230'";"Karvia";"'04'";"Satakunta"
"'231'";"Kaskinen";"'15'";"Ostrobothnia"
"'232'";"Kauhajoki";"'14'";"South Ostrobothnia"
"'233'";"Kauhava";"'14'";"South Ostrobothnia"
"'235'";"Kauniainen";"'01'";"Uusimaa"
"'236'";"Kaustinen";"'16'";"Central Ostrobothnia"
"'239'";"Keitele";"'11'";"North Savo"
"'240'";"Kemi";"'19'";"Lapland"
"'320'";"Kemijärvi";"'19'";"Lapland"
"'241'";"Keminmaa";"'19'";"Lapland"
"'322'";"Kimitoön";"'02'";"Southwest Finland"
"'244'";"Kempele";"'17'";"North Ostrobothnia"
"'245'";"Kerava";"'01'";"Uusimaa"
"'249'";"Keuruu";"'13'";"Central Finland"
"'250'";"Kihniö";"'06'";"Pirkanmaa"
"'256'";"Kinnula";"'13'";"Central Finland"
"'257'";"Kirkkonummi";"'01'";"Uusimaa"
"'260'";"Kitee";"'12'";"North Karelia"
"'261'";"Kittilä";"'19'";"Lapland"
"'263'";"Kiuruvesi";"'11'";"North Savo"
"'265'";"Kivijärvi";"'13'";"Central Finland"
"'271'";"Kokemäki";"'04'";"Satakunta"
"'272'";"Kokkola";"'16'";"Central Ostrobothnia"
"'273'";"Kolari";"'19'";"Lapland"
"'275'";"Konnevesi";"'13'";"Central Finland"
"'276'";"Kontiolahti";"'12'";"North Karelia"
"'280'";"Korsnäs";"'15'";"Ostrobothnia"
"'284'";"Koski Tl";"'02'";"Southwest Finland"
"'285'";"Kotka";"'08'";"Kymenlaakso"
"'286'";"Kouvola";"'08'";"Kymenlaakso"
"'287'";"Kristinestad";"'15'";"Ostrobothnia"
"'288'";"Kronoby";"'15'";"Ostrobothnia"
"'290'";"Kuhmo";"'18'";"Kainuu"
"'291'";"Kuhmoinen";"'13'";"Central Finland"
"'295'";"Kumlinge";"'21'";"Åland"
"'297'";"Kuopio";"'11'";"North Savo"
"'300'";"Kuortane";"'14'";"South Ostrobothnia"
"'301'";"Kurikka";"'14'";"South Ostrobothnia"
"'304'";"Kustavi";"'02'";"Southwest Finland"
"'305'";"Kuusamo";"'17'";"North Ostrobothnia"
"'312'";"Kyyjärvi";"'13'";"Central Finland"
"'316'";"Kärkölä";"'07'";"Päijät-Häme"
"'317'";"Kärsämäki";"'17'";"North Ostrobothnia"
"'318'";"Kökar";"'21'";"Åland"
"'398'";"Lahti";"'07'";"Päijät-Häme"
"'399'";"Laihia";"'15'";"Ostrobothnia"
"'400'";"Laitila";"'02'";"Southwest Finland"
"'407'";"Lapinjärvi";"'01'";"Uusimaa"
"'402'";"Lapinlahti";"'11'";"North Savo"
"'403'";"Lappajärvi";"'14'";"South Ostrobothnia"
"'405'";"Lappeenranta";"'09'";"South Karelia"
"'408'";"Lapua";"'14'";"South Ostrobothnia"
"'410'";"Laukaa";"'13'";"Central Finland"
"'416'";"Lemi";"'09'";"South Karelia"
"'417'";"Lemland";"'21'";"Åland"
"'418'";"Lempäälä";"'06'";"Pirkanmaa"
"'420'";"Leppävirta";"'11'";"North Savo"
"'421'";"Lestijärvi";"'16'";"Central Ostrobothnia"
"'422'";"Lieksa";"'12'";"North Karelia"
"'423'";"Lieto";"'02'";"Southwest Finland"
"'425'";"Liminka";"'17'";"North Ostrobothnia"
"'426'";"Liperi";"'12'";"North Karelia"
"'444'";"Lohja";"'01'";"Uusimaa"
"'430'";"Loimaa";"'02'";"Southwest Finland"
"'433'";"Loppi";"'05'";"Kanta-Häme"
"'434'";"Loviisa";"'01'";"Uusimaa"
"'435'";"Luhanka";"'13'";"Central Finland"
"'436'";"Lumijoki";"'17'";"North Ostrobothnia"
"'438'";"Lumparland";"'21'";"Åland"
"'440'";"Larsmo";"'15'";"Ostrobothnia"
"'441'";"Luumäki";"'09'";"South Karelia"
"'475'";"Malax";"'15'";"Ostrobothnia"
"'478'";"Mariehamn";"'21'";"Åland"
"'480'";"Marttila";"'02'";"Southwest Finland"
"'481'";"Masku";"'02'";"Southwest Finland"
"'483'";"Merijärvi";"'17'";"North Ostrobothnia"
"'484'";"Merikarvia";"'04'";"Satakunta"
"'489'";"Miehikkälä";"'08'";"Kymenlaakso"
"'491'";"Mikkeli";"'10'";"South Savo"
"'494'";"Muhos";"'17'";"North Ostrobothnia"
"'495'";"Multia";"'13'";"Central Finland"
"'498'";"Muonio";"'19'";"Lapland"
"'499'";"Korsholm";"'15'";"Ostrobothnia"
"'500'";"Muurame";"'13'";"Central Finland"
"'503'";"Mynämäki";"'02'";"Southwest Finland"
"'504'";"Myrskylä";"'01'";"Uusimaa"
"'505'";"Mäntsälä";"'01'";"Uusimaa"
"'508'";"Mänttä-Vilppula";"'06'";"Pirkanmaa"
"'507'";"Mäntyharju";"'10'";"South Savo"
"'529'";"Naantali";"'02'";"Southwest Finland"
"'531'";"Nakkila";"'04'";"Satakunta"
"'535'";"Nivala";"'17'";"North Ostrobothnia"
"'536'";"Nokia";"'06'";"Pirkanmaa"
"'538'";"Nousiainen";"'02'";"Southwest Finland"
"'541'";"Nurmes";"'12'";"North Karelia"
"'543'";"Nurmijärvi";"'01'";"Uusimaa"
"'545'";"Närpes";"'15'";"Ostrobothnia"
"'560'";"Orimattila";"'07'";"Päijät-Häme"
"'561'";"Oripää";"'02'";"Southwest Finland"
"'562'";"Orivesi";"'06'";"Pirkanmaa"
"'563'";"Oulainen";"'17'";"North Ostrobothnia"
"'564'";"Oulu";"'17'";"North Ostrobothnia"
"'309'";"Outokumpu";"'12'";"North Karelia"
"'576'";"Padasjoki";"'07'";"Päijät-Häme"
"'577'";"Paimio";"'02'";"Southwest Finland"
"'578'";"Paltamo";"'18'";"Kainuu"
"'445'";"Pargas";"'02'";"Southwest Finland"
"'580'";"Parikkala";"'09'";"South Karelia"
"'581'";"Parkano";"'06'";"Pirkanmaa"
"'599'";"Pedersöre";"'15'";"Ostrobothnia"
"'583'";"Pelkosenniemi";"'19'";"Lapland"
"'854'";"Pello";"'19'";"Lapland"
"'584'";"Perho";"'16'";"Central Ostrobothnia"
"'588'";"Pertunmaa";"'10'";"South Savo"
"'592'";"Petäjävesi";"'13'";"Central Finland"
"'593'";"Pieksämäki";"'10'";"South Savo"
"'595'";"Pielavesi";"'11'";"North Savo"
"'598'";"Jakobstad";"'15'";"Ostrobothnia"
"'601'";"Pihtipudas";"'13'";"Central Finland"
"'604'";"Pirkkala";"'06'";"Pirkanmaa"
"'607'";"Polvijärvi";"'12'";"North Karelia"
"'608'";"Pomarkku";"'04'";"Satakunta"
"'609'";"Pori";"'04'";"Satakunta"
"'611'";"Pornainen";"'01'";"Uusimaa"
"'638'";"Porvoo";"'01'";"Uusimaa"
"'614'";"Posio";"'19'";"Lapland"
"'615'";"Pudasjärvi";"'17'";"North Ostrobothnia"
"'616'";"Pukkila";"'01'";"Uusimaa"
"'619'";"Punkalaidun";"'06'";"Pirkanmaa"
"'620'";"Puolanka";"'18'";"Kainuu"
"'623'";"Puumala";"'10'";"South Savo"
"'624'";"Pyhtää";"'08'";"Kymenlaakso"
"'625'";"Pyhäjoki";"'17'";"North Ostrobothnia"
"'626'";"Pyhäjärvi";"'17'";"North Ostrobothnia"
"'630'";"Pyhäntä";"'17'";"North Ostrobothnia"
"'631'";"Pyhäranta";"'02'";"Southwest Finland"
"'635'";"Pälkäne";"'06'";"Pirkanmaa"
"'636'";"Pöytyä";"'02'";"Southwest Finland"
"'678'";"Raahe";"'17'";"North Ostrobothnia"
"'710'";"Raasepori";"'01'";"Uusimaa"
"'680'";"Raisio";"'02'";"Southwest Finland"
"'681'";"Rantasalmi";"'10'";"South Savo"
"'683'";"Ranua";"'19'";"Lapland"
"'684'";"Rauma";"'04'";"Satakunta"
"'686'";"Rautalampi";"'11'";"North Savo"
"'687'";"Rautavaara";"'11'";"North Savo"
"'689'";"Rautjärvi";"'09'";"South Karelia"
"'691'";"Reisjärvi";"'17'";"North Ostrobothnia"
"'694'";"Riihimäki";"'05'";"Kanta-Häme"
"'697'";"Ristijärvi";"'18'";"Kainuu"
"'698'";"Rovaniemi";"'19'";"Lapland"
"'700'";"Ruokolahti";"'09'";"South Karelia"
"'702'";"Ruovesi";"'06'";"Pirkanmaa"
"'704'";"Rusko";"'02'";"Southwest Finland"
"'707'";"Rääkkylä";"'12'";"North Karelia"
"'729'";"Saarijärvi";"'13'";"Central Finland"
"'732'";"Salla";"'19'";"Lapland"
"'734'";"Salo";"'02'";"Southwest Finland"
"'736'";"Saltvik";"'21'";"Åland"
"'790'";"Sastamala";"'06'";"Pirkanmaa"
